qid,term,topic,subtopic,difficulty,questiontype,parentid,orderinparent,questiontext,optiona,optionb,optionc,optiond,correctanswer,hint,detailedsolution,imagelocation,tags,enginetypesim,modesim,filepathsim,filenamesim
SCI-P7-T1-00085,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,The bones of the foot (excluding toes and ankle) are called?,Metacarpals,Metatarsals,Tarsals,Phalanges,Option_B,"'Tarsal' is ankle, 'Meta' means beyond.",Metatarsals are the five bones in the foot.,,"[""P7"",""Science"",""Foot""]",,,,
SCI-P7-T1-00086,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,How does the skeleton help the circulatory system?,By pumping blood,By manufacturing blood cells,By cleaning blood,By storing blood,Option_B,Think of what happens inside bones.,Bones contribute to the circulatory system by producing blood cells in the marrow.,,"[""P7"",""Science"",""Functions""]",,,,
SCI-P7-T1-00087,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,Which bone is located at the very top of the vertebral column?,Sacrum,Skull,Atlas (Cervical vertebrae),Coccyx,Option_C,It's in the neck.,"The cervical vertebrae are found in the neck, at the top of the spine.",,"[""P7"",""Science"",""Neck""]",,,,
SCI-P7-T1-00088,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,How many separate bones are in the adult vertebral column after fusion?,33 bones,26 bones,206 bones,12 bones,Option_B,Adults have fewer vertebrae than babies due to fusion.,"In adults, the 33 vertebrae fuse into 26 separate bones.",,"[""P7"",""Science"",""Spine""]",,,,
SCI-P7-T1-00089,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,The mandible is another name for which bone?,Upper jaw,Lower jaw,Skull top,Cheek bone,Option_B,It is the only movable bone of the skull.,The mandible is the lower jawbone.,,"[""P7"",""Science"",""Mandible""]",,,,
SCI-P7-T1-00090,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,What is the role of the yellow bone marrow?,Making red blood cells,Storing fat and making white blood cells,Protecting the heart,Storing calcium,Option_B,It is found in the center of long bones.,Yellow bone marrow stores fat and can produce white blood cells.,,"[""P7"",""Science"",""Marrow""]",,,,
SCI-P7-T1-00091,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,What would happen to the body if we didn't have a skeleton?,We would be stronger,We would be a heap of flesh,We would be taller,Nothing would change,Option_B,The skeleton gives us structure.,"Without a skeleton, the body would have no support and would be a heap on the floor.",,"[""P7"",""Science"",""Functions""]",,,,
SCI-P7-T1-00092,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,Which of these is a bone of the lower limb?,Humerus,Radius,Tibia,Ulna,Option_C,It is one of the bones in your leg.,The tibia is the larger bone of the lower leg.,,"[""P7"",""Science"",""Leg""]",,,,
SCI-P7-T1-00093,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,The pectoral girdle consists of how many bones in total?,2 bones,4 bones,6 bones,8 bones,Option_B,Two on each side of the body.,The pectoral girdle has 4 bones: 2 clavicles and 2 scapulas.,,"[""P7"",""Science"",""Shoulder""]",,,,
SCI-P7-T1-00094,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,The pelvis consists of the fusion of how many bones?,Two,Three,Five,One,Option_B,"Ilium, Ischium, and Pubis.","The pelvis is formed by the fusion of three bones: ilium, ischium, and pubis.",,"[""P7"",""Science"",""Pelvis""]",,,,
SCI-P7-T1-00095,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,Which part of the skeleton stores minerals?,Muscles,Bones,Skin,Blood,Option_B,They act like a bank for calcium.,Bones serve as a storage site for important minerals like calcium and phosphorus.,,"[""P7"",""Science"",""Functions""]",,,,
SCI-P7-T1-00096,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,The bones of the arms and legs are collectively called?,Axial bones,Limbs,Girdles,Skull bones,Option_B,Common word for arms and legs.,The arms and legs are known as the limbs.,,"[""P7"",""Science"",""Limbs""]",,,,
SCI-P7-T1-00097,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,Which bone protects the spinal cord in the neck region?,Cervical vertebrae,Thoracic vertebrae,Lumbar vertebrae,Sacrum,Option_A,Neck bones have this special name.,Cervical vertebrae are the bones found in the neck region.,,"[""P7"",""Science"",""Neck""]",,,,
SCI-P7-T1-00098,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,What is the name of the bone located in the middle of the chest?,Rib,Sternum,Clavicle,Scapula,Option_B,It connects most of your ribs.,The sternum (breastbone) is found in the center of the chest.,,"[""P7"",""Science"",""Chest""]",,,,
SCI-P7-T1-00099,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,"In a living person, what are the hollow spaces in bones full of?",Air,Water,Living cells and marrow,Nothing,Option_C,Bones are living tissue.,"In a living person, the hollow spaces in bones are filled with living cells and marrow.",,"[""P7"",""Science"",""Bones""]",,,,
SCI-P7-T1-00100,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,Which bone protects the reproductive organs in women?,Rib cage,Skull,Pelvis,Vertebral column,Option_C,It is the large hip bone.,The pelvis protects the reproductive organs (like the uterus) in women.,,"[""P7"",""Science"",""Pelvis""]",,,,
SCI-P7-T1-00101,T1,Musculo-Skeletal System,axial_skull_spine,E,MCQ,null,null,Which part of the axial skeleton acts as the main support for the head?,The ribs,The vertebral column,The pelvic girdle,The limbs,Option_B,It is also called the spine.,The vertebral column supports the head and forms the central axis of the body.,,"[""P7"",""Science"",""Spine""]",,,,
SCI-P7-T1-00102,T1,Musculo-Skeletal System,axial_skull_spine,E,MCQ,null,null,How many separate bones make up the adult human skull?,10 bones,22 bones,33 bones,8 bones,Option_B,It includes both the brain box and face bones.,The skull consists of 22 separate bones that combine to form the structure of the head.,,"[""P7"",""Science"",""Skull""]",,,,
SCI-P7-T1-00103,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,The bones of the skull are held together by immovable joints called?,Ligaments,Tendons,Sutures,Cartilage,Option_C,"Think of ""stiches"" in the bone.",Sutures are the fixed joints that fuse the bones of the skull together.,,"[""P7"",""Science"",""Sutures""]",,,,
SCI-P7-T1-00104,T1,Musculo-Skeletal System,axial_skull_spine,E,MCQ,null,null,Which bone is the only movable bone in the human skull?,Cranium,Mandible (Lower jaw),Nasal bone,Maxilla,Option_B,It's the bone you use to chew.,"The mandible, or lower jawbone, is the only part of the skull that can move.",,"[""P7"",""Science"",""Mandible""]",,,,
SCI-P7-T1-00105,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,What is the main function of the cranium?,To help us breathe,To protect the brain,To produce saliva,To move the jaw,Option_B,"It is the ""brain box"".",The cranium is the part of the skull that houses and protects the brain.,,"[""P7"",""Science"",""Cranium""]",,,,
SCI-P7-T1-00106,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,How many bones make up the backbone of a human infant?,22 bones,26 bones,33 bones,12 bones,Option_C,Babies have more vertebrae before they fuse.,"At birth, humans have 33 or 34 vertebrae in their spine.",,"[""P7"",""Science"",""Vertebrae""]",,,,
SCI-P7-T1-00107,T1,Musculo-Skeletal System,axial_skull_spine,H,MCQ,null,null,Why does an adult have only 26 vertebrae while a baby has 33?,Some bones disappear,Bones fuse together as we grow,Bones get smaller,Adults have fewer nerves,Option_B,Think about the lower regions of the spine.,"As a person grows, some vertebrae in the sacrum and coccyx fuse into single bones.",,"[""P7"",""Science"",""Fusion""]",,,,
SCI-P7-T1-00108,T1,Musculo-Skeletal System,axial_skull_spine,E,MCQ,null,null,Into how many regions is the human vertebral column divided?,Two,Three,Five,Seven,Option_C,From neck to tail.,"The backbone is divided into 5 regions: Cervical, Thoracic, Lumbar, Sacral, and Coccyx.",,"[""P7"",""Science"",""Backbone""]",,,,
SCI-P7-T1-00109,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,How many vertebrae are found in the cervical (neck) region?,12 vertebrae,5 vertebrae,7 vertebrae,4 vertebrae,Option_C,This is the first region of the spine.,"The cervical region, located in the neck, has 7 vertebrae.",,"[""P7"",""Science"",""Cervical""]",,,,
SCI-P7-T1-00110,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,The thoracic region of the spine is located behind which part of the body?,The head,The chest,The abdomen,The pelvis,Option_B,It's where the ribs are attached.,The thoracic region is in the chest area and has 12 vertebrae.,,"[""P7"",""Science"",""Thoracic""]",,,,
SCI-P7-T1-00111,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,How many vertebrae are in the thoracic region?,7,5,12,4,Option_C,It matches the number of pairs of ribs.,The thoracic region consists of 12 vertebrae where ribs are attached.,,"[""P7"",""Science"",""Thoracic""]",,,,
SCI-P7-T1-00112,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,The lumbar region of the spine is found in which part of the body?,The neck,The chest,The abdomen,The tail,Option_C,"It's the ""lower back"" area.",The lumbar region is located in the abdomen and consists of 5 vertebrae.,,"[""P7"",""Science"",""Lumbar""]",,,,
SCI-P7-T1-00113,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,How many vertebrae make up the lumbar region?,12 vertebrae,5 vertebrae,7 vertebrae,33 vertebrae,Option_B,It supports a lot of body weight.,The lumbar region has 5 vertebrae in the abdomen area.,,"[""P7"",""Science"",""Lumbar""]",,,,
SCI-P7-T1-00114,T1,Musculo-Skeletal System,axial_skull_spine,H,MCQ,null,null,In which region of the spine are the vertebrae fused to form the sacrum?,Cervical,Thoracic,Sacral,Coccyx,Option_C,It's in the pelvic area.,The sacral region has 5 vertebrae fused together in the pelvic area.,,"[""P7"",""Science"",""Sacrum""]",,,,
SCI-P7-T1-00115,T1,Musculo-Skeletal System,axial_skull_spine,H,MCQ,null,null,The coccyx is also known as the?,Breastbone,Shoulder blade,Tailbone,Kneecap,Option_C,It's the very end of the spine.,"The coccyx is the tailbone region, made of 4 fused vertebrae.",,"[""P7"",""Science"",""Coccyx""]",,,,
SCI-P7-T1-00116,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,What passes through the hollow center of the vertebrae?,The heart,The spinal cord,The lungs,The stomach,Option_B,It's a major bundle of nerves.,The vertebral column protects the spinal cord which runs through its center.,,"[""P7"",""Science"",""Spinal Cord""]",,,,
SCI-P7-T1-00117,T1,Musculo-Skeletal System,axial_skull_spine,E,MCQ,null,null,Which part of the skull protects the sense organs for hearing?,Mandible,Outer cranium,Inner ear bones,Frontal bone,Option_C,The skull encases these organs.,The skull provides protection for vital sense organs like the inner ear.,,"[""P7"",""Science"",""Ears""]",,,,
SCI-P7-T1-00118,T1,Musculo-Skeletal System,axial_skull_spine,H,MCQ,null,null,At what stage of life do the sutures in the skull become completely fused?,At birth,In childhood,In adulthood,Never,Option_C,Think about when growth stops.,The edges of the skull bones become fused in adulthood.,,"[""P7"",""Science"",""Sutures""]",,,,
SCI-P7-T1-00119,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,Which region of the spine supports the weight of the trunk?,Cervical,Lumbar,Coccyx,Sacral,Option_B,It's the large vertebrae in the lower back.,The lumbar vertebrae are the largest and support most of the trunk's weight.,,"[""P7"",""Science"",""Lumbar""]",,,,
SCI-P7-T1-00120,T1,Musculo-Skeletal System,axial_skull_spine,E,MCQ,null,null,The vertebral column is part of which skeletal division?,Appendicular skeleton,Axial skeleton,Hydrostatic skeleton,Exoskeleton,Option_B,It forms the central axis.,The spine is a core component of the axial skeleton.,,"[""P7"",""Science"",""Axial""]",,,,
SCI-P7-T1-00121,T1,Musculo-Skeletal System,axial_skull_spine,H,MCQ,null,null,How many fused vertebrae make up the coccyx (tailbone)?,5,12,4,7,Option_C,It is the smallest region at the bottom.,The coccyx is formed by 4 vertebrae fused together.,,"[""P7"",""Science"",""Coccyx""]",,,,
SCI-P7-T1-00122,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,Where do the ribs attach to the vertebral column?,Lumbar vertebrae,Cervical vertebrae,Thoracic vertebrae,Sacrum,Option_C,The chest region.,The 12 pairs of ribs are attached to the 12 thoracic vertebrae.,,"[""P7"",""Science"",""Thoracic""]",,,,
SCI-P7-T1-00123,T1,Musculo-Skeletal System,axial_skull_spine,E,MCQ,null,null,What protects the vital organs in the chest?,The skull,The rib cage,The pelvis,The limbs,Option_B,It acts like a bony container.,"The rib cage, attached to the thoracic spine, protects the heart and lungs.",,"[""P7"",""Science"",""Protection""]",,,,
SCI-P7-T1-00124,T1,Musculo-Skeletal System,axial_skull_spine,H,MCQ,null,null,What is the purpose of the interlocking serrated edges in the skull?,To allow movement,To help the brain grow,"To form strong, fused joints",To produce blood,Option_C,Think of jigsaw puzzle pieces.,"The serrated edges of skull bones interlock to form strong, immovable suture joints.",,"[""P7"",""Science"",""Skull""]",,,,
SCI-P7-T1-00125,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,Which region of the backbone allows you to nod your head?,Thoracic,Cervical,Lumbar,Sacral,Option_B,It's in the neck.,The cervical vertebrae in the neck allow for head movement.,,"[""P7"",""Science"",""Cervical""]",,,,
SCI-P7-T1-00126,T1,Musculo-Skeletal System,axial_skull_spine,E,MCQ,null,null,What is the common name for the mandible?,Shoulder blade,Breastbone,Lower jawbone,Tailbone,Option_C,It holds your lower teeth.,The mandible is the scientific term for the lower jaw.,,"[""P7"",""Science"",""Mandible""]",,,,
SCI-P7-T1-00127,T1,Musculo-Skeletal System,axial_skull_spine,H,MCQ,null,null,The sacrum is located between which two parts of the body?,Head and Neck,Chest and Abdomen,Backbone and Pelvis,Legs and Feet,Option_C,It's part of the lower back framework.,The sacrum connects the spine to the pelvic girdle.,,"[""P7"",""Science"",""Sacrum""]",,,,
SCI-P7-T1-00128,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,Which part of the skull forms the face?,Cranium,Facial bones,Vertebrae,Sternum,Option_B,It's in the name!,The skull is divided into the cranium (brain case) and the facial bones.,,"[""P7"",""Science"",""Face""]",,,,
SCI-P7-T1-00129,T1,Musculo-Skeletal System,axial_skull_spine,H,MCQ,null,null,How many fused vertebrae are in the adult sacrum?,3,5,7,9,Option_B,It starts as five in children.,"In adults, the sacrum is counted as one bone formed from 5 fused vertebrae.",,"[""P7"",""Science"",""Sacrum""]",,,,
SCI-P7-T1-00130,T1,Musculo-Skeletal System,axial_skull_spine,E,MCQ,null,null,What gives the spine its flexibility?,One long solid bone,Individual vertebrae separated by discs,Muscle fibers,The skin,Option_B,It's not just one stick.,The spine is made of many small bones (vertebrae) which allows for bending and twisting.,,"[""P7"",""Science"",""Flexibility""]",,,,
SCI-P7-T1-00131,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,Which sense organ is protected by the orbits in the skull?,Tongue,Ears,Eyes,Nose,Option_C,The bony holes in the front of the skull.,The orbits are the eye sockets that protect the eyeballs.,,"[""P7"",""Science"",""Eyes""]",,,,
SCI-P7-T1-00132,T1,Musculo-Skeletal System,axial_skull_spine,H,MCQ,null,null,Which mineral is stored in the bones of the spine?,Iron,Calcium,Sodium,Iodine,Option_B,It makes the bones hard.,Bones in the axial skeleton store minerals like calcium and phosphorus.,,"[""P7"",""Science"",""Minerals""]",,,,
SCI-P7-T1-00133,T1,Musculo-Skeletal System,axial_skull_spine,M,MCQ,null,null,What is the function of the spinal cord?,To pump blood,To transmit messages between the brain and body,To digest food,To make oxygen,Option_B,"It's a ""highway"" for nerves.",The spinal cord is the main nerve pathway protected by the vertebral column.,,"[""P7"",""Science"",""Nerves""]",,,,
